betap,vcva,tctp,thtc,vac,max_growth_rate,kz_peak,kp_peak,theta_peak
0.1,2,0.5,6,0.0001,0.00836,0.146,1.4,84
0.1,2.2,0.5,6,0.0001,0.0109,0.144,1.51,84.5
0.2,2.4,0.5,6,0.0001,0.00837,0.169,1.61,84
0.2,2.6,0.5,6,0.0001,0.0104,0.167,1.68,84.3
0.4,2.9,0.5,6,0.0001,0.00786,0.193,1.9,84.2
0.4,3,0.5,6,0.0001,0.0104,0.166,1.71,84.5
0.6,3.2,0.5,6,0.0001,0.00652,0.207,2.15,84.5
0.6,3.6,0.5,6,0.0001,0.00989,0.204,2.36,85.1
0.6,3.7,0.5,6,0.0001,0.0108,0.204,2.41,85.2
0.8,4,0.5,6,0.0001,0.00977,0.214,2.63,85.4
0.8,4.1,0.5,6,0.0001,0.0107,0.213,2.71,85.5
1,4.4,0.5,6,0.0001,0.00996,0.223,2.96,85.7
1,4.5,0.5,6,0.0001,0.0109,0.223,3,85.7
1.2,4.7,0.5,6,0.0001,0.00952,0.232,3.13,85.8
1.2,4.8,0.5,6,0.0001,0.0104,0.232,3.2,85.9
1.4,5,0.5,6,0.0001,0.0093,0.238,3.37,86
1.4,5.1,0.5,6,0.0001,0.0102,0.237,3.47,86.1
1.6,5.3,0.5,6,0.0001,0.00925,0.244,3.58,86.1
1.6,5.4,0.5,6,0.0001,0.0102,0.245,3.66,86.2
1.8,5.6,0.5,6,0.0001,0.00937,0.251,3.77,86.2
1.8,5.7,0.5,6,0.0001,0.0103,0.251,3.89,86.3
1.8,5.8,0.5,6,0.0001,0.0112,0.25,3.98,86.4
2,5.9,0.5,6,0.0001,0.00963,0.257,4.05,86.4
2,6,0.5,6,0.0001,0.0106,0.259,4.06,86.4
2.1,6,0.5,6,0.0001,0.00935,0.26,4.06,86.3
2.1,6.1,0.5,6,0.0001,0.0103,0.259,4.21,86.5
